
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 1) #  # 756 # 81250062 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 2) #  # 756 # 81250063 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 3) #  # 756 # 81250064 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 4) #  # 756 # 81250065 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 5) #  # 756 # 81250066 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 6) #  # 756 # 81250067 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 7) #  # 756 # 81250068 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 8) #  # 756 # 81250069 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 9) #  # 756 # 81250070 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.17 #  # error # LOGGING ENDS HERE since logging is disabled for Debug in the Log configuration (this line is only here because startup log files cannot be deleted if opened in Windows) (msg no. 10) #  # 756 # 81250071 # com.appium.Monitoring.Log.LogImplMain # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.18 #  # registerFailed # Failed to register StatusInfoAccess # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250090 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.18 #  # registerFailed # Failed to register StatusInfoAccess # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250101 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.19 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250108 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.19 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250109 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.19 #  # registerFailed # Failed to register StatusInfoAccess [*2] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250116 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.22 #  # registerFailed # Failed to register NSim [*3] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250135 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.22 #  # registerFailed # Failed to register StatusInfoAccess [*2] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250136 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.22 #  # registerFailed # Failed to register XTransport [*3] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250137 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.23 #  # registerFailed # Failed to register NSim # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250143 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.23 #  # registerFailed # Failed to register XTransport # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250144 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
